Bin_Number,Inoculation,sd_P.x,n.x,Mound,Trough,mean_P.x,n.y,mound_sd,trough_sd,mean_P.y,sd_P.y,mound_n,trough_n,se_diff
T5R3,Inoculated,0.013750878759798102,4,NA,0.05955,0.05955,4,NA,0.013750878759798102,0.0243125,0.020426427938661555,4,NA,NA
T5R3,Inoculated,0.013750878759798102,4,NA,0.05955,0.05955,4,NA,0.013750878759798102,0.05955,0.013750878759798102,NA,4,NA
T5R3,Uncolonized,0.01460761787561545,4,0.021575,NA,0.021575,4,0.01460761787561545,NA,0.021575,0.01460761787561545,4,NA,NA
T5R3,Uncolonized,0.01460761787561545,4,0.021575,NA,0.021575,4,0.01460761787561545,NA,0.025375,0.009358641283149317,NA,4,NA
T5R3,Uncolonized,0.01460761787561545,4,0.021575,NA,0.025375,4,NA,0.009358641283149317,0.021575,0.01460761787561545,4,NA,NA
T5R3,Uncolonized,0.01460761787561545,4,0.021575,NA,0.025375,4,NA,0.009358641283149317,0.025375,0.009358641283149317,NA,4,NA
T5R3,Uncolonized,0.009358641283149317,4,NA,0.025375,0.021575,4,0.01460761787561545,NA,0.021575,0.01460761787561545,4,NA,NA
T5R3,Uncolonized,0.009358641283149317,4,NA,0.025375,0.021575,4,0.01460761787561545,NA,0.025375,0.009358641283149317,NA,4,NA
T5R3,Uncolonized,0.009358641283149317,4,NA,0.025375,0.025375,4,NA,0.009358641283149317,0.021575,0.01460761787561545,4,NA,NA
T5R3,Uncolonized,0.009358641283149317,4,NA,0.025375,0.025375,4,NA,0.009358641283149317,0.025375,0.009358641283149317,NA,4,NA
